attrib_name,TCGA.OR.A5J1,TCGA.OR.A5J2,TCGA.OR.A5J3,TCGA.OR.A5J4,TCGA.OR.A5J5,TCGA.OR.A5J6,TCGA.OR.A5J7,TCGA.OR.A5J8,TCGA.OR.A5J9,TCGA.OR.A5JA,TCGA.OR.A5JB,TCGA.OR.A5JC,TCGA.OR.A5JD,TCGA.OR.A5JE,TCGA.OR.A5JF,TCGA.OR.A5JG,TCGA.OR.A5JI,TCGA.OR.A5JJ,TCGA.OR.A5JK,TCGA.OR.A5JL,TCGA.OR.A5JM,TCGA.OR.A5JO,TCGA.OR.A5JP,TCGA.OR.A5JQ,TCGA.OR.A5JR,TCGA.OR.A5JS,TCGA.OR.A5JT,TCGA.OR.A5JV,TCGA.OR.A5JW,TCGA.OR.A5JX,TCGA.OR.A5JY,TCGA.OR.A5JZ,TCGA.OR.A5K0,TCGA.OR.A5K1,TCGA.OR.A5K2,TCGA.OR.A5K3,TCGA.OR.A5K4,TCGA.OR.A5K5,TCGA.OR.A5K6,TCGA.OR.A5K8,TCGA.OR.A5K9,TCGA.OR.A5KO,TCGA.OR.A5KT,TCGA.OR.A5KU,TCGA.OR.A5KV,TCGA.OR.A5KW,TCGA.OR.A5KX,TCGA.OR.A5KY,TCGA.OR.A5KZ,TCGA.OR.A5L3,TCGA.OR.A5L4,TCGA.OR.A5L5,TCGA.OR.A5L6,TCGA.OR.A5L8,TCGA.OR.A5L9,TCGA.OR.A5LA,TCGA.OR.A5LB,TCGA.OR.A5LC,TCGA.OR.A5LD,TCGA.OR.A5LE,TCGA.OR.A5LG,TCGA.OR.A5LH,TCGA.OR.A5LJ,TCGA.OR.A5LK,TCGA.OR.A5LL,TCGA.OR.A5LM,TCGA.OR.A5LN,TCGA.OR.A5LO,TCGA.OR.A5LP,TCGA.OR.A5LR,TCGA.OR.A5LS,TCGA.OR.A5LT,TCGA.OU.A5PI,TCGA.P6.A5OF,TCGA.P6.A5OG,TCGA.PA.A5YG,TCGA.PK.A5H8,TCGA.PK.A5H9,TCGA.PK.A5HA,TCGA.PK.A5HB
hsa-let-7a-1,13.7191,12.1173,12.7824,13.4318,13.4695,13.2215,13.0161,12.5846,14.0098,11.819,13.6947,13.4554,12.88,13.7241,13.0017,13.0373,12.381,14.6522,12.0116,12.4939,13.9301,12.9132,13.2932,12.8596,12.5262,13.2756,14.0084,12.0397,14.0023,12.8616,11.9792,14.052,13.1011,13.1165,14.2393,12.6604,14.0506,13.2588,11.8801,12.9566,13.6142,14.1529,13.6521,11.9338,13.9258,13.2192,12.168,13.1215,13.3535,12.6986,13.2917,13.7893,13.3766,14.0573,13.3733,13.4628,13.0679,12.6035,12.4351,13.6168,13.5031,13.9557,13.4461,13.6158,13.0998,12.8612,13.3536,12.5384,11.9254,12.9953,13.1807,12.5676,13.0989,13.6914,12.6799,12.2588,13.5113,14.4609,14.0116,13.9247
hsa-let-7a-2,14.7085,13.1036,13.774,14.439,14.462,14.2209,14.0031,13.576,15.0144,12.7952,14.7,14.4459,13.8698,14.7142,13.9941,14.0296,13.3962,15.6417,13.0037,13.4818,14.9211,13.8931,14.2912,13.8499,13.5217,14.2817,15.0024,13.0239,14.9945,13.8533,12.9801,15.0463,14.0818,14.1248,15.2225,13.656,15.0468,14.2546,12.8444,13.953,14.6131,15.1444,14.6504,12.9232,14.9317,14.2164,13.1519,14.1178,14.3496,13.6839,14.2869,14.7846,14.3665,15.0576,14.3735,14.4617,14.0654,13.5953,13.4199,14.6151,14.4983,14.952,14.436,14.6117,14.0919,13.8601,14.3481,13.5292,12.9181,13.9819,14.1729,13.5653,14.0869,14.6968,13.6926,13.2617,14.5063,15.4598,14.9964,14.9223
hsa-let-7a-3,13.7432,12.1685,12.7869,13.4483,13.4879,13.2471,13.0125,12.6172,14.027,11.8386,13.7182,13.4628,12.8785,13.7551,12.9949,13.0317,12.3996,14.6459,12.0206,12.5218,13.9654,12.9072,13.3115,12.8763,12.5117,13.287,14.0051,12.0546,14.0026,12.8643,12.0266,14.0623,13.0927,13.1398,14.2427,12.6422,14.0623,13.2871,11.8641,12.9594,13.6128,14.1482,13.6543,11.9416,13.9551,13.2365,12.1967,13.1522,13.4061,12.6978,13.2985,13.8035,13.3707,14.0652,13.3994,13.4867,13.084,12.5933,12.5002,13.6488,13.5187,13.9591,13.4597,13.627,13.1046,12.8851,13.3655,12.5304,11.9415,12.9906,13.1857,12.5818,13.1077,13.7054,12.6738,12.2701,13.5079,14.4832,14.0099,13.947
hsa-let-7b,13.893,13.4529,13.3797,13.823,13.5192,13.4734,13.0455,12.7214,13.8129,13.1046,14.3706,12.5638,12.5805,13.6393,12.3527,13.5082,11.266,14.8625,12.932,13.0461,13.7104,13.0377,12.9313,12.5015,12.4801,13.3139,14.0501,12.172,13.5582,11.9887,10.0159,14.201,13.3319,13.0618,14.2873,11.6435,14.0503,12.7653,13.5101,12.1595,14.1221,13.8973,14.3551,12.715,13.6786,13.2322,12.5505,13.1806,13.2681,12.5405,12.3235,13.3225,12.0742,13.6822,13.7325,13.5732,13.2576,13.3545,12.3726,13.5792,13.9844,13.3342,12.8082,13.3371,13.099,12.7174,12.622,12.8594,11.8628,13.0303,12.9519,12.0021,13.0201,14.2505,12.6952,12.0555,13.1595,13.8094,13.8001,14.1848
hsa-let-7c,10.9411,10.6931,9.539,11.931,8.8009,12.5367,7.2958,11.6245,11.4811,9.4388,8.1054,9.9811,11.2705,10.8393,10.4824,9.3861,10.9223,10.9737,10.3807,10.9856,7.8791,11.8588,10.5557,11.6215,11.5389,9.2517,12.9543,8.4626,10.9397,10.5707,8.9219,12.6129,6.7327,10.6496,9.4061,10.1919,12.0494,9.5619,8.7391,8.6636,12.14,9.5863,10.3282,8.3919,10.1628,10.0852,6.8978,9.342,11.4151,10.3879,10.9283,11.8817,11.4406,11.9085,12.0507,11.5211,9.5246,9.785,7.1491,10.6106,11.378,10.4576,9.4401,11.0057,11.3542,10.0819,9.9393,8.349,9.4556,10.8592,8.4596,11.4231,9.8324,10.3631,8.5068,9.5167,12.1427,12.1377,7.6308,9.2954
hsa-let-7d,10.7518,10.2969,8.6436,10.897,10.3009,9.8823,10.7507,11.0494,10.7799,10.0436,11.26,9.6336,9.4276,10.931,8.8711,9.8089,8.77,10.4345,8.4797,9.0837,10.3369,8.3396,10.6743,9.3657,10.0265,8.3848,9.864,10.4717,8.182,9.8452,6.7004,10.8578,10.0724,9.7521,10.7783,10.1831,10.4599,8.0349,9.347,9.6706,9.3373,10.0432,9.7894,8.8302,10.1696,9.0198,9.4152,10.4823,10.6932,8.5513,10.0523,9.7795,9.4787,9.0177,9.7634,9.1114,8.9968,9.651,11.0514,10.2747,9.7348,8.3053,9.5516,9.6984,8.3732,9.7302,9.6886,9.0063,9.2822,10.3385,9.3057,9.3216,9.5086,9.8399,9.2721,9.4214,9.7466,9.5927,11.3254,11.2181
hsa-let-7e,11.3898,10.4254,11.6318,11.4816,11.4602,12.6022,11.4644,12.0357,13.95,10.2658,11.9894,13.9887,12.5826,12.5371,11.9711,10.9625,12.9061,12.4413,10.4707,11.764,12.3647,10.9763,12.8071,12.4778,12.5918,11.2491,13.1512,11.8128,12.5393,12.9041,12.0287,13.1017,10.8947,11.7578,13.0404,13.2652,13.0617,13.4198,9.4001,12.1488,11.9985,12.818,11.4562,11.2674,12.6389,13.3689,11.0084,12.2817,12.0758,11.3744,13.2775,12.8282,12.7127,12.7653,13.5156,12.2596,11.2968,11.6095,11.9887,12.2462,11.9974,12.4406,12.3159,12.5857,11.2911,13.377,12.6486,11.7681,11.9422,12.1782,11.7887,12.7016,12.2933,12.7596,10.5453,12.0436,14.0849,13.1525,13.0547,12.2377
hsa-let-7f-1,5.56,3.9142,5.5829,6.4229,6.6703,5.3623,4.9395,5.5738,6.4699,4.5613,6.274,5.8553,5.0345,6.4725,5.9313,5.9868,5.0094,7.2251,4.4676,5.7047,6.4745,5.5651,6.1499,4.8584,4.6801,5.2895,5.9449,4.2056,6.4864,5.7908,3.6124,6.7604,6.5071,5.7835,5.6447,5.4007,6.3583,4.064,4.4148,5.7291,5.7917,6.5569,6.1786,5.2021,6.2187,5.9161,4.3043,5.3843,6.0935,5.0624,5.2375,6.3429,5.8334,5.4862,5.8805,6.1575,5.9724,4.6969,5.2831,6.4746,5.8593,5.6286,7.0319,5.0171,5.0244,5.7842,4.9461,5.5618,4.4582,5.9103,5.5004,5.314,6.1214,6.27,4.678,4.7052,6.466,5.4077,5.4203,5.9104
hsa-let-7f-2,14.0363,11.4669,13.6988,14.2267,14.6299,13.9112,14.1248,13.8481,15.2874,11.9056,14.1614,14.9222,14.6165,14.6301,14.1421,13.9734,13.9816,15.6746,12.0172,13.1684,14.483,13.4023,14.2851,13.8237,13.5196,13.9901,14.7449,12.2873,15.2291,14.0881,11.8575,14.9935,13.8894,13.8366,14.6663,14.6276,14.7385,12.1767,11.3715,14.2786,14.3032,15.1609,14.1824,13.0067,14.9997,14.1507,12.5876,13.8966,14.2686,13.5031,14.7027,14.6114,14.6115,14.5568,13.9776,14.3272,14.4991,13.2513,13.3066,14.6032,14.0072,14.3326,15.1371,14.194,13.694,14.3459,14.1111,14.4884,12.8907,13.5459,14.2322,14.1281,14.4923,14.5852,13.2025,13.4191,14.8426,14.8464,14.5313,14.6349
hsa-let-7g,10.1909,10.2912,9.0428,9.3969,8.8763,10.1894,9.7806,10.0074,10.2491,8.9725,9.683,9.8748,11.1619,10.0747,9.1653,9.1219,9.9642,10.1623,8.7992,9.08,9.953,9.0724,9.2036,9.8431,10.0594,9.788,10.0391,10.1735,9.7605,9.47,7.7292,10.2935,9.9464,9.5385,9.8038,10.251,10.0121,9.3958,10.0088,9.3288,9.1778,9.2228,10.0631,9.4125,10.5416,9.1452,8.3635,9.4104,10.0752,9.6445,10.1552,10.2757,9.6383,10.2333,9.6365,9.7065,9.503,9.8343,9.8842,10.4835,9.6958,10.1018,10.1766,10.315,9.2917,9.7114,10.4226,9.4496,9.5586,9.6831,9.036,9.7454,9.2741,9.9015,9.7884,10.3392,10.2338,10.0014,11.0272,9.8309
